quarter,method,n,positives,selected_n,hits_at_20,ap,recall_at_20,precision_at_20,brier
2024Q1,R0,172.0,103.0,35.0,24.0,0.6512969360185153,0.23300970873786409,0.6857142857142857,0.24054682471797456
2024Q1,M1,172.0,103.0,35.0,21.0,0.6549509498757439,0.20388349514563106,0.6,0.23386107063659622
2024Q1,M2,172.0,103.0,35.0,20.0,0.6404283141874094,0.1941747572815534,0.5714285714285714,0.2351063865084688
2024Q2,R0,167.0,81.0,34.0,22.0,0.5258754775342391,0.2716049382716049,0.6470588235294118,0.2465170122717528
2024Q2,M1,167.0,81.0,34.0,22.0,0.533358413292929,0.2716049382716049,0.6470588235294118,0.258245649460433
2024Q2,M2,167.0,81.0,34.0,20.0,0.5304476190304201,0.24691358024691357,0.5882352941176471,0.25641964614852814
2024Q3,R0,160.0,63.0,32.0,14.0,0.48572560094790895,0.2222222222222222,0.4375,0.2363030931122449
2024Q3,M1,160.0,63.0,32.0,10.0,0.430404550267267,0.15873015873015872,0.3125,0.25396083720981383
2024Q3,M2,160.0,63.0,32.0,9.0,0.4264714934327269,0.14285714285714285,0.28125,0.2523976935101725
2024Q4,R0,143.0,84.0,29.0,18.0,0.5867333467163334,0.21428571428571427,0.6206896551724138,0.2564998888239589
2024Q4,M1,143.0,84.0,29.0,16.0,0.5843132063102431,0.19047619047619047,0.5517241379310345,0.25462545951678217
2024Q4,M2,143.0,84.0,29.0,16.0,0.5866303822788538,0.19047619047619047,0.5517241379310345,0.2544344418941883
2025Q1,R0,179.0,104.0,36.0,23.0,0.6518102657737387,0.22115384615384615,0.6388888888888888,0.23886720618456878
2025Q1,M1,179.0,104.0,36.0,26.0,0.6424677522215019,0.25,0.7222222222222222,0.23724299737811935
2025Q1,M2,179.0,104.0,36.0,23.0,0.62735034604395,0.22115384615384615,0.6388888888888888,0.23489181666839776
2025Q2,R0,143.0,92.0,29.0,13.0,0.6697893948494414,0.14130434782608695,0.4482758620689655,0.2534952092050676
2025Q2,M1,143.0,92.0,29.0,15.0,0.67103749199503,0.16304347826086957,0.5172413793103449,0.2315986618596387
2025Q2,M2,143.0,92.0,29.0,15.0,0.6758995410692786,0.16304347826086957,0.5172413793103449,0.22946437403047285
2025Q3,R0,137.0,63.0,28.0,12.0,0.5013942469635655,0.19047619047619047,0.42857142857142855,0.2451128082239098
2025Q3,M1,137.0,63.0,28.0,14.0,0.5296160854923324,0.2222222222222222,0.5,0.23906242357342217
2025Q3,M2,137.0,63.0,28.0,12.0,0.5210445777117886,0.19047619047619047,0.42857142857142855,0.23966717461298515
2025Q4,R0,103.0,66.0,21.0,15.0,0.7078816561114574,0.22727272727272727,0.7142857142857143,0.23248030396984395
2025Q4,M1,103.0,66.0,21.0,15.0,0.7004383390354754,0.22727272727272727,0.7142857142857143,0.22571029740267395
2025Q4,M2,103.0,66.0,21.0,15.0,0.7103829557343353,0.22727272727272727,0.7142857142857143,0.2199721802174895
